Auth. Code,Tax Type,Start Date,End Date,Coterm. Valid,Reg. Valid,Supp. Valid,Vac. Valid,Cum. Valid,Daily Factor,Additional Tax,Tax Disposition,Mandatory,PSR Proc. Flag,EIC Cert
0,1,20200103,0,0,1,1,1,1,0,4,0,1,4,0
0,3,20200101,0,0,1,2,2,2,0,1,1,1,5,0
0,4,20200101,0,0,1,2,2,2,0,1,1,1,5,0
0,5,20130101,0,0,1,2,2,2,0,1,1,1,6,0
0,6,20130101,0,0,1,2,2,2,0,1,1,1,6,0
0,10,20200101,0,0,1,2,2,2,0,1,1,0,4,0
0,55,20200101,0,0,1,2,2,2,0,1,1,1,3,0
0,56,20200101,0,0,1,2,2,2,0,1,1,1,3,0
0,57,20200101,0,0,1,2,2,2,0,1,1,1,3,0
0,58,20200101,0,0,1,2,2,2,0,1,1,1,3,0
0,59,20130101,0,0,1,2,2,2,0,1,1,1,6,0
0,60,20130101,0,0,1,2,2,2,0,1,1,1,3,0
0,70,20200102,0,0,1,1,1,1,0,0,0,1,3,0
0,71,20090102,0,0,1,1,1,0,0,0,0,0,3,0
0,72,20090101,0,0,1,1,1,0,0,0,0,0,3,0
0,200,20200401,0,9,1,2,2,2,0,1,1,1,0,1
0,201,20200401,0,9,1,2,2,2,0,1,1,1,0,1
0,202,20200401,0,9,1,2,2,2,0,1,1,1,0,1
0,203,20200401,0,0,1,2,2,2,0,1,1,1,0,0
0,204,20200313,0,0,1,2,2,2,0,1,1,1,0,1
0,205,20200401,0,0,1,2,2,2,0,1,1,1,0,1
0,206,20200327,0,0,1,2,2,2,0,1,1,1,0,1
0,501,20051018,0,0,1,2,2,2,0,1,0,1,3,0
0,502,20030101,0,0,1,2,2,2,0,1,0,1,3,0
0,503,20200101,0,0,1,2,2,2,0,1,0,1,3,0
0,505,20090725,0,0,1,2,2,2,0,1,0,1,3,0
0,506,20090724,0,0,1,2,2,2,0,1,0,1,3,0
0,507,20090725,0,0,1,2,2,2,0,1,0,1,3,0
0,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
0,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
0,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
0,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
0,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
0,516,20030101,0,0,1,2,2,2,0,1,0,1,3,0
0,527,20090724,0,0,1,2,2,2,0,1,0,1,3,0
0,600,20030101,0,0,1,2,2,2,0,1,0,1,3,0
10000,1,20200101,0,0,1,1,1,1,0,0,0,1,0,0
10000,10,20130101,0,0,1,2,2,2,0,1,1,1,1,0
10000,13,20130101,0,0,1,2,2,2,0,1,1,1,0,0
10000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
10000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
10000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
10000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
10000,70,20200101,0,0,1,1,1,0,0,0,0,0,0,0
10000,71,20090217,0,0,1,1,1,0,0,0,0,0,0,0
10000,72,20090217,0,0,1,1,1,0,0,0,0,0,0,0
