authority,taxType,taxTypeName,payment,paymentName
0,501,BANKRUPTCY,C001,TIP CREDIT
0,501,BANKRUPTCY,D062,MANDATORY RETIREMENT CONTRIBUTION
0,501,BANKRUPTCY,E002,PAY ADVANCES
0,501,BANKRUPTCY,E005,BACK PAY
0,501,BANKRUPTCY,E006,BONUSES
0,501,BANKRUPTCY,E010,COMMISSIONS
0,501,BANKRUPTCY,E014,DISMISSAL/SEVERANCE
0,501,BANKRUPTCY,E021,GOLDEN PARACHUTE
0,501,BANKRUPTCY,E023,GUARANTEED WAGE
0,501,BANKRUPTCY,E024,JURY DUTY PAY
0,501,BANKRUPTCY,E027,SUPPLEMENTAL MILITARY PAY
0,501,BANKRUPTCY,E031,OVERTIME
0,501,BANKRUPTCY,E034,PROBATIONARY PAY
0,501,BANKRUPTCY,E035,REGULAR WAGES
0,501,BANKRUPTCY,E037,SICK/DISABILITY PAY
0,501,BANKRUPTCY,E038,STANDBY/IDLE TIME
0,501,BANKRUPTCY,E041,SUPPLEMENTAL UNEMPLOYMENT
0,501,BANKRUPTCY,E043,TIPS
0,501,BANKRUPTCY,E047,VACATION PAY
0,501,BANKRUPTCY,E060,3RD PARTY SICK PAY - IN HOUSE PLAN
0,501,BANKRUPTCY,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,501,BANKRUPTCY,E079,TIPS ALTERNATE EMPLOYER RULE
0,501,BANKRUPTCY,E087,MINIMUM WAGE MAKEUP
0,502,CURRENT SUPPORT,C001,TIP CREDIT
0,502,CURRENT SUPPORT,D062,MANDATORY RETIREMENT CONTRIBUTION
0,502,CURRENT SUPPORT,E002,PAY ADVANCES
0,502,CURRENT SUPPORT,E005,BACK PAY
0,502,CURRENT SUPPORT,E006,BONUSES
0,502,CURRENT SUPPORT,E010,COMMISSIONS
0,502,CURRENT SUPPORT,E014,DISMISSAL/SEVERANCE
0,502,CURRENT SUPPORT,E021,GOLDEN PARACHUTE
0,502,CURRENT SUPPORT,E023,GUARANTEED WAGE
0,502,CURRENT SUPPORT,E024,JURY DUTY PAY
0,502,CURRENT SUPPORT,E027,SUPPLEMENTAL MILITARY PAY
0,502,CURRENT SUPPORT,E031,OVERTIME
0,502,CURRENT SUPPORT,E034,PROBATIONARY PAY
0,502,CURRENT SUPPORT,E035,REGULAR WAGES
0,502,CURRENT SUPPORT,E037,SICK/DISABILITY PAY
0,502,CURRENT SUPPORT,E038,STANDBY/IDLE TIME
0,502,CURRENT SUPPORT,E041,SUPPLEMENTAL UNEMPLOYMENT
0,502,CURRENT SUPPORT,E047,VACATION PAY
0,502,CURRENT SUPPORT,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,502,CURRENT SUPPORT,E087,MINIMUM WAGE MAKEUP
0,503,FEDERAL TAX LEVY,C001,TIP CREDIT
0,503,FEDERAL TAX LEVY,D001,UNION DUES
0,503,FEDERAL TAX LEVY,D002,HEALTH INSURANCE
0,503,FEDERAL TAX LEVY,D003,LIFE INSURANCE
0,503,FEDERAL TAX LEVY,D004,DISABILITY INSURANCE
0,503,FEDERAL TAX LEVY,D005,HEALTH FOR DEPENDENT CHILD
0,503,FEDERAL TAX LEVY,D006,INITIATION FEE
0,503,FEDERAL TAX LEVY,D007,AMOUNT LEGALLY OWED/DUE EMPLOYER
0,503,FEDERAL TAX LEVY,D008,DENTAL INSURANCE
0,503,FEDERAL TAX LEVY,D009,DEDUCTIONS AS CONDITION OF EMPLOY
0,503,FEDERAL TAX LEVY,D010,LIFE INSURANCE DEPENDENT CHILD
0,503,FEDERAL TAX LEVY,D011,DISABILITY INSURANCE DEP CHILD
0,503,FEDERAL TAX LEVY,D012,AUTOMOBILE INSURANCE
0,503,FEDERAL TAX LEVY,D013,BALLOT ISSUE COMMITTEE
0,503,FEDERAL TAX LEVY,D014,BOARD/HOUSING/LODGING
0,503,FEDERAL TAX LEVY,D015,CHARITABLE CONTRIBUTIONS
0,503,FEDERAL TAX LEVY,D016,CHILD CARE/DEPENDENT CARE
0,503,FEDERAL TAX LEVY,D017,COLLEGE/SCHOLARSHIP SAVINGS PLANS
0,503,FEDERAL TAX LEVY,D018,COMPANY PRODUCTS/MERCHANDISE
0,503,FEDERAL TAX LEVY,D019,COMPUTER LOANS
0,503,FEDERAL TAX LEVY,D020,CREDIT CARD ACCOUNTS
0,503,FEDERAL TAX LEVY,D021,CREDIT UNION
0,503,FEDERAL TAX LEVY,D022,DEFERRED COMPENSATION PLANS
0,503,FEDERAL TAX LEVY,D023,DUES/FEES
0,503,FEDERAL TAX LEVY,D024,EMPLOYEE SAVINGS
0,503,FEDERAL TAX LEVY,D025,EMPLOYEE LOANS
0,503,FEDERAL TAX LEVY,D026,EMPLOYER LOANS
0,503,FEDERAL TAX LEVY,D027,EQUIPMENT
0,503,FEDERAL TAX LEVY,D028,FLEXIBLE SPENDING ACCOUNTS
0,503,FEDERAL TAX LEVY,D029,FLOWER FUNDS
0,503,FEDERAL TAX LEVY,D030,GIFTS
0,503,FEDERAL TAX LEVY,D031,GOVT EMP RETIREMENT LOANS (UVI)
0,503,FEDERAL TAX LEVY,D032,HOMEOWNERS  INSURANCE
0,503,FEDERAL TAX LEVY,D033,LEGAL DEFENSE FUND
0,503,FEDERAL TAX LEVY,D034,LEGAL EXPENSE INSURANCE
0,503,FEDERAL TAX LEVY,D035,MEALS
0,503,FEDERAL TAX LEVY,D036,MEDICAL EXPENSE PLANS
0,503,FEDERAL TAX LEVY,D037,MISCELLANEOUS
0,503,FEDERAL TAX LEVY,D038,PARKING
0,503,FEDERAL TAX LEVY,D039,PERSONAL LOANS
0,503,FEDERAL TAX LEVY,D040,POLITICAL/CAMPAIGN CONTRIBUTIONS
0,503,FEDERAL TAX LEVY,D041,PROFIT SHARING INCENTIVE PLAN LOANS
0,503,FEDERAL TAX LEVY,D042,PUBLIC RADIO STATION CONTRIBUTIONS
0,503,FEDERAL TAX LEVY,D043,SALARY ADVANCE
0,503,FEDERAL TAX LEVY,D044,SALARY RESERVE
0,503,FEDERAL TAX LEVY,D045,SAVINGS BOND
0,503,FEDERAL TAX LEVY,D046,SERVICE CREDIT PURCHASE
0,503,FEDERAL TAX LEVY,D047,THRIFT SAVINGS PLAN LOANS
0,503,FEDERAL TAX LEVY,D048,TICKETS (ATHLETIC/ENTERTAINMENT)
0,503,FEDERAL TAX LEVY,D049,TRANSIT/TRANSPORTATION
0,503,FEDERAL TAX LEVY,D050,TUITION/BOOK FEES
0,503,FEDERAL TAX LEVY,D051,UNAUTHORIZED/UNPAID LEAVE
0,503,FEDERAL TAX LEVY,D052,UNIFORMS
0,503,FEDERAL TAX LEVY,D053,UNITED WAY
0,503,FEDERAL TAX LEVY,D054,VEHICLE TAX
0,503,FEDERAL TAX LEVY,D055,WELLNESS CENTER
0,503,FEDERAL TAX LEVY,D056,VISION COVERAGE
0,503,FEDERAL TAX LEVY,D057,VISION COVERAGE FOR DEPENDENTS
