authority,taxType,formula,effectiveDate,minimumAge
210203,51,1,1/1/2017,18
391001,1,1,7/1/2011,18
391003,1,1,1/1/2018,17
391003,1,2,1/1/2018,17
391004,1,1,1/1/2016,18
391005,1,1,7/1/2007,16
391005,1,2,7/1/2007,16
391009,1,1,1/1/1997,18
391010,1,1,1/1/1999,17
391011,1,1,1/1/1989,16
391014,1,1,1/1/2000,18
391015,1,1,7/1/1989,16
391016,1,1,1/1/2003,18
391017,1,1,1/1/2017,16
391018,1,1,4/1/1982,18
391019,1,1,1/1/2017,18
391020,1,1,4/1/2003,18
391021,1,1,1/1/2008,18
391022,1,1,1/1/1993,16
391023,1,1,1/1/2016,18
391025,1,1,1/1/2016,18
391026,1,1,1/1/1976,18
391028,1,1,7/1/1983,18
391030,1,1,1/1/2011,18
391031,1,1,1/1/2018,18
391032,1,1,7/1/1981,18
391032,1,2,7/1/1981,18
391033,1,1,10/1/1968,16
391034,1,1,1/1/2016,16
391035,1,1,1/1/2000,16
391036,1,1,7/1/2018,18
391037,1,1,10/1/1968,18
391039,1,1,10/1/1972,18
391040,1,1,1/1/1993,18
391041,1,1,1/1/1979,18
391042,1,1,1/1/2012,18
391045,1,1,1/1/2006,16
391047,1,1,1/1/2005,18
391048,1,1,7/1/1988,17
391051,1,1,4/1/1975,18
391052,1,1,1/1/2016,18
391054,1,1,6/1/2019,18
391055,1,1,1/1/1990,18
391056,1,1,1/1/2016,18
391058,1,1,1/1/2008,18
391059,1,1,1/1/1986,18
391060,1,1,1/1/1991,18
391061,1,1,6/1/2009,18
391062,1,1,7/1/2018,18
391064,1,1,1/1/2018,18
391066,1,1,1/1/2014,18
391067,1,1,1/1/1971,18
391069,1,1,1/1/1977,18
391071,1,1,1/1/2010,16
391073,1,1,1/1/2020,18
391074,1,1,1/1/1998,18
391075,1,1,1/1/1976,18
391076,1,1,7/1/2018,18
391077,1,1,1/1/2016,18
391078,1,1,9/1/1987,18
391079,1,1,1/1/1995,18
391080,1,1,12/1/1982,18
391081,1,1,7/1/2015,16
391083,1,1,1/1/1975,18
391084,1,1,1/1/2017,18
391085,1,1,1/1/2017,18
391086,1,1,1/1/2005,18
391088,1,1,1/1/2016,16
391090,1,1,1/1/2020,18
391091,1,1,1/1/1988,18
391092,1,1,1/1/2017,18
391092,1,2,1/1/2017,18
391093,1,1,1/1/2016,18
391094,1,1,9/1/1992,18
391097,1,1,1/1/1974,18
391098,1,1,10/1/2009,18
391100,1,1,1/1/2013,18
391102,1,1,7/1/2015,18
391103,1,1,1/1/2006,18
391105,1,1,7/1/1990,18
391106,1,1,7/1/1994,18
391107,1,1,7/1/1996,18
391107,1,2,7/1/1996,18
391108,1,1,1/1/2017,18
391111,1,1,1/1/2016,18
391112,1,1,1/1/2017,16
391115,1,1,7/1/1987,18
391119,1,1,7/1/1987,18
391121,1,1,1/1/2007,18
391122,1,1,1/1/2008,18
391124,1,1,1/1/1988,18
391126,1,1,9/1/1982,18
