authorityCode,tax Type,effectiveDate,rescindDate
210000,504,1/2/2008,00/00/0000
210000,504,1/3/2008,00/00/0000
250000,504,1/3/2003,00/00/0000
260000,504,1/2/2014,00/00/0000
260000,504,1/3/2014,00/00/0000
310000,504,1/2/2009,00/00/0000
310000,504,1/3/2009,00/00/0000
380000,504,1/2/2003,00/00/0000
380000,507,7/24/2009,00/00/0000
380000,507,7/26/2009,00/00/0000
420000,507,1/1/2018,00/00/0000
420000,507,1/1/2019,00/00/0000
420000,507,1/11/2019,00/00/0000
420000,507,1/15/2020,00/00/0000
440000,504,1/2/2009,00/00/0000
440000,504,1/3/2009,00/00/0000
460000,507,7/25/2009,00/00/0000
460000,507,7/1/2016,00/00/0000
460000,507,1/1/2017,00/00/0000
460000,507,1/1/2018,00/00/0000
460000,507,1/1/2019,00/00/0000
460000,507,1/1/2020,00/00/0000
470000,507,7/25/2009,00/00/0000
470000,507,7/26/2009,00/00/0000
510000,507,7/25/2009,00/00/0000
540000,504,7/25/2009,00/00/0000
540000,504,7/26/2009,00/00/0000
540000,504,1/1/2016,00/00/0000
