authority,authorityID,taxType,taxTypeID,startDate
ALABAMA,10000,STATE TAX LEVY,504,20030102
ALABAMA,10000,CREDITOR GARNISHMENT,507,20090724
ALABAMA,10000,STATE STUDENT LOAN,517,20100101
ALABAMA,10000,TOTAL SUPPORT,600,20060102
ALASKA,20000,CREDITOR GARNISHMENT,507,20121002
ALASKA,20000,CRIMINAL RESTITUTION,508,20030101
ALASKA,20000,VOL WAGE ASSIGNMENT,515,20030101
ALASKA,20000,STATE STUDENT LOAN,517,20121001
ALASKA,20000,TOTAL SUPPORT,600,20130102
AMERICAN SAMOA,70000,STATE STUDENT LOAN,517,20100101
AMERICAN SAMOA,70000,TOTAL SUPPORT,600,20060102
ARIZONA,40000,STATE TAX LEVY,504,20200101
ARIZONA,40000,CREDITOR GARNISHMENT,507,20090724
ARIZONA,40000,VOL WAGE ASSIGNMENT,515,20030101
ARIZONA,40000,STATE STUDENT LOAN,517,20100101
ARIZONA,40000,TOTAL SUPPORT,600,20030102
ARKANSAS,50000,STATE TAX LEVY,504,20090724
ARKANSAS,50000,CREDITOR GARNISHMENT,507,20090724
ARKANSAS,50000,VOL WAGE ASSIGNMENT,515,20030101
ARKANSAS,50000,STATE STUDENT LOAN,517,20100101
ARKANSAS,50000,TOTAL SUPPORT,600,20060102
CALIFORNIA,60000,STATE TAX LEVY,504,20130703
CALIFORNIA,60000,CREDITOR GARNISHMENT,507,20200101
CALIFORNIA,60000,CRIMINAL RESTITUTION,508,20130701
CALIFORNIA,60000,VOL WAGE ASSIGNMENT,515,20030101
CALIFORNIA,60000,STATE STUDENT LOAN,517,20100101
CALIFORNIA,60000,TOTAL SUPPORT,600,20030102
COLORADO,80000,STATE TAX LEVY,504,20130102
COLORADO,80000,CREDITOR GARNISHMENT,507,20200101
COLORADO,80000,CRIMINAL RESTITUTION,508,20190101
COLORADO,80000,VOL WAGE ASSIGNMENT,515,20090724
COLORADO,80000,STATE STUDENT LOAN,517,20130101
COLORADO,80000,STATE BENEFIT LEVY,531,20200101
COLORADO,80000,TOTAL SUPPORT,600,20060102
CONNECTICUT,90000,STATE TAX LEVY,504,20191001
CONNECTICUT,90000,CREDITOR GARNISHMENT,507,20191001
CONNECTICUT,90000,VOL WAGE ASSIGNMENT,515,20120101
CONNECTICUT,90000,STATE STUDENT LOAN,517,20100101
CONNECTICUT,90000,TOTAL SUPPORT,600,20030103
DELAWARE,100000,STATE TAX LEVY,504,20030102
DELAWARE,100000,CREDITOR GARNISHMENT,507,20191001
DELAWARE,100000,CRIMINAL RESTITUTION,508,20030101
DELAWARE,100000,VOL WAGE ASSIGNMENT,515,20090724
DELAWARE,100000,STATE STUDENT LOAN,517,20100101
DELAWARE,100000,TOTAL SUPPORT,600,20060102
DISTRICT OF COLUMBIA,110000,STATE TAX LEVY,504,20030101
DISTRICT OF COLUMBIA,110000,CREDITOR GARNISHMENT,507,20190702
DISTRICT OF COLUMBIA,110000,STATE STUDENT LOAN,517,20100101
DISTRICT OF COLUMBIA,110000,TOTAL SUPPORT,600,20060102
FEDERAL,0,ADMINISTRATIVE WAGE GARNISHMENT,506,20090724
FEDERAL,0,CREDITOR GARNISHMENT,507,20090725
FEDERAL,0,NON-COURT ORDERED STUDENT LOAN,527,20090724
FEDERAL,0,TOTAL SUPPORT,600,20030101
FLORIDA,120000,STATE TAX LEVY,504,20090724
FLORIDA,120000,CREDITOR GARNISHMENT,507,20100102
FLORIDA,120000,CRIMINAL RESTITUTION,508,20030101
FLORIDA,120000,STATE STUDENT LOAN,517,20100101
FLORIDA,120000,TOTAL SUPPORT,600,20060102
GEORGIA,130000,STATE TAX LEVY,504,20090724
GEORGIA,130000,STATE STUDENT LOAN,517,20100101
GEORGIA,130000,TOTAL SUPPORT,600,20060102
GUAM,140000,CREDITOR GARNISHMENT,507,20090724
GUAM,140000,STATE STUDENT LOAN,517,20100101
GUAM,140000,TOTAL SUPPORT,600,20060101
HAWAII,150000,STATE TAX LEVY,504,20030101
HAWAII,150000,CREDITOR GARNISHMENT,507,20090724
HAWAII,150000,CRIMINAL RESTITUTION,508,20030101
HAWAII,150000,STATE STUDENT LOAN,517,20100101
HAWAII,150000,TOTAL SUPPORT,600,20060102
IDAHO,160000,STATE TAX LEVY,504,20130702
IDAHO,160000,CREDITOR GARNISHMENT,507,20090724
IDAHO,160000,VOL WAGE ASSIGNMENT,515,20030101
IDAHO,160000,STATE STUDENT LOAN,517,20100101
IDAHO,160000,TOTAL SUPPORT,600,20060102
ILLINOIS,170000,STATE TAX LEVY,504,20200101
ILLINOIS,170000,CREDITOR GARNISHMENT,507,20200101
ILLINOIS,170000,VOL WAGE ASSIGNMENT,515,20200101
ILLINOIS,170000,STATE STUDENT LOAN,517,20100101
ILLINOIS,170000,CREDITOR GARNISHMENT EMPLOYER FEE,521,20140101
ILLINOIS,170000,TOTAL SUPPORT,600,20060102
INDIANA,180000,STATE TAX LEVY,504,20140701
INDIANA,180000,CREDITOR GARNISHMENT,507,20140701
INDIANA,180000,VOL WAGE ASSIGNMENT,515,20030101
INDIANA,180000,STATE STUDENT LOAN,517,20100101
INDIANA,180000,TOTAL SUPPORT,600,20060102
IOWA,190000,STATE TAX LEVY,504,20030104
IOWA,190000,CREDITOR GARNISHMENT,507,20090725
IOWA,190000,CRIMINAL RESTITUTION,508,20030101
IOWA,190000,VOL WAGE ASSIGNMENT,515,20030101
IOWA,190000,STATE STUDENT LOAN,517,20100101
IOWA,190000,TOTAL SUPPORT,600,20060102
KANSAS,200000,STATE TAX LEVY,504,20030101
KANSAS,200000,VOL WAGE ASSIGNMENT,515,20030101
KANSAS,200000,STATE STUDENT LOAN,517,20100101
KANSAS,200000,TOTAL SUPPORT,600,20130703
KENTUCKY,210000,STATE TAX LEVY,504,20080103
KENTUCKY,210000,CREDITOR GARNISHMENT,507,20090701
KENTUCKY,210000,CRIMINAL RESTITUTION,508,20030101
KENTUCKY,210000,VOL WAGE ASSIGNMENT,515,20030101
KENTUCKY,210000,STATE STUDENT LOAN,517,20100101
KENTUCKY,210000,TOTAL SUPPORT,600,20060102
LOUISIANA,220000,STATE TAX LEVY,504,20090724
LOUISIANA,220000,VOL WAGE ASSIGNMENT,515,20030101
LOUISIANA,220000,STATE STUDENT LOAN,517,20100101
LOUISIANA,220000,TOTAL SUPPORT,600,20030102
MAINE,230000,STATE TAX LEVY,504,20091002
MAINE,230000,CREDITOR GARNISHMENT,507,20200101
MAINE,230000,CRIMINAL RESTITUTION,508,20030101
MAINE,230000,VOL WAGE ASSIGNMENT,515,20091001
MAINE,230000,STATE STUDENT LOAN,517,20100101
MAINE,230000,STATE BENEFIT LEVY,531,20200101
MAINE,230000,TOTAL SUPPORT,600,20060102
MARYLAND,240000,STATE TAX LEVY,504,20090724
MARYLAND,240000,CRIMINAL RESTITUTION,508,20030101
MARYLAND,240000,STATE STUDENT LOAN,517,20100101
MARYLAND,240000,TOTAL SUPPORT,600,20060102
MASSACHUSETTS,250000,STATE TAX LEVY,504,20030103
MASSACHUSETTS,250000,CREDITOR GARNISHMENT,507,20200101
MASSACHUSETTS,250000,VOL WAGE ASSIGNMENT,515,20110407
MASSACHUSETTS,250000,STATE STUDENT LOAN,517,20100101
MASSACHUSETTS,250000,TOTAL SUPPORT,600,20060102
