authorityCode,authorityName,countyID,authorityType,authorityTitle,authorityID
0,FEDERAL,,A,FEDERAL,
10000,ALABAMA,,B,STATE,
10001,ATTALLA,ETOWAH,D,CITY,
10002,BESSEMER,JEFFERSON,D,CITY,
10003,BRILLIANT,MARION,D,TOWN,
10004,GADSDEN,ETOWAH,D,CITY,
10005,GOODWATER,COOSA,D,CITY,
10006,GLENCOE,ETOWAH,D,CITY,
10007,GUIN,MARION,D,CITY,
10008,HAMILTON,MARION,D,CITY,
10009,MOUNTAIN BROOK,JEFFERSON,D,CITY,
10010,OPELIKA,LEE,D,CITY,
10011,RAINBOW CITY,ETOWAH,D,CITY,
10012,SOUTHSIDE,ETOWAH,D,CITY,
10013,TUSKEGEE,MACON,D,CITY,
10014,RED BAY,FRANKLIN,D,CITY,
10015,HALEYVILLE,WINSTON,D,CITY,
10016,HACKLEBURG,MARION,D,TOWN,
10073,AUBURN,LEE,D,CITY,
10074,BEAR CREEK,MARION,D,CITY,
10075,SULLIGENT,LAMAR,D,CITY,
10076,MACON,MACON,C,COUNTY,
10501,BIRMINGHAM,JEFFERSON,D,CITY,
10521,JEFFERSON,JEFFERSON,C,COUNTY,
10522,BEAVERTON,LAMAR,D,TOWN,
10523,LEEDS,JEFFERSON,D,CITY,
10524,LEEDS,ST. CLAIR,D,CITY,
10525,LEEDS,SHELBY,D,CITY,
10526,LYNN,WINSTON,D,TOWN,
10527,MOSSES,LOWNDES,D,TOWN,
10528,SHORTER,MACON,D,TOWN,
10529,NOTASULGA,MACON,D,TOWN,
10530,BIRMINGHAM,SHELBY,D,CITY,
10531,FAIRFIELD,JEFFERSON,D,CITY,
10532,MIDFIELD,JEFFERSON,D,CITY,
10533,TARRANT,JEFFERSON,D,CITY,
10534,WADLEY,RANDOLPH,D,TOWN,
10535,IRONDALE,JEFFERSON,D,CITY,
20000,ALASKA,,B,STATE,
40000,ARIZONA,,B,STATE,
50000,ARKANSAS,,B,STATE,
50001,TEXARKANA,MILLER,D,CITY,
60000,CALIFORNIA,,B,STATE,
60001,SAN FRANCISCO,SAN FRANCISCO,D,CITY,
70000,AMERICAN SAMOA,,B,POSSESSION,
80000,COLORADO,,B,STATE,
80080,DENVER,DENVER,D,CITY,
80085,GREENWOOD VILLAGE,ARAPAHOE,D,CITY,
80094,AURORA,ADAMS,D,CITY,
80095,GLENDALE,ARAPAHOE,D,CITY,
80103,SHERIDAN,ARAPAHOE,D,CITY,
80104,AURORA,ARAPAHOE,D,CITY,
80105,AURORA,DOUGLAS,D,CITY,
90000,CONNECTICUT,,B,STATE,
100000,DELAWARE,,B,STATE,
100502,WILMINGTON,NEW CASTLE,D,CITY,
110000,DISTRICT OF COLUMBIA,,B,STATE,
120000,FLORIDA,,B,STATE,
130000,GEORGIA,,B,STATE,
140000,GUAM,,B,POSSESSION,
150000,HAWAII,,B,STATE,
160000,IDAHO,,B,STATE,
170000,ILLINOIS,,B,STATE,
180000,INDIANA,,B,STATE,
180001,ADAMS,,C,COUNTY,
180002,ALLEN,,C,COUNTY,
180003,BARTHOLOMEW,,C,COUNTY,
180004,BENTON,,C,COUNTY,
180005,BLACKFORD,,C,COUNTY,
180006,BOONE,,C,COUNTY,
180007,BROWN,,C,COUNTY,
180008,CARROLL,,C,COUNTY,
180009,CASS,,C,COUNTY,
180011,CLAY,,C,COUNTY,
180012,CLINTON,,C,COUNTY,
180013,CRAWFORD,,C,COUNTY,
180014,DAVIESS,,C,COUNTY,
180015,DEARBORN,,C,COUNTY,
180016,DECATUR,,C,COUNTY,
180017,DEKALB,,C,COUNTY,
180018,DELAWARE,,C,COUNTY,
180019,DUBOIS,,C,COUNTY,
180020,ELKHART,,C,COUNTY,
180021,FAYETTE,,C,COUNTY,
180022,FLOYD,,C,COUNTY,
180023,FOUNTAIN,,C,COUNTY,
180024,FRANKLIN,,C,COUNTY,
180025,FULTON,,C,COUNTY,
180026,GIBSON,,C,COUNTY,
180027,GRANT,,C,COUNTY,
180028,GREENE,,C,COUNTY,
180029,HAMILTON,,C,COUNTY,
180030,HANCOCK,,C,COUNTY,
180031,HARRISON,,C,COUNTY,
180032,HENDRICKS,,C,COUNTY,
180033,HENRY,,C,COUNTY,
180034,HOWARD,,C,COUNTY,
180035,HUNTINGTON,,C,COUNTY,
180036,JACKSON,,C,COUNTY,
180037,JASPER,,C,COUNTY,
180038,JAY,,C,COUNTY,
180040,JENNINGS,,C,COUNTY,
180041,JOHNSON,,C,COUNTY,
180042,KNOX,,C,COUNTY,
180043,KOSCIUSKO,,C,COUNTY,
180044,LAGRANGE,,C,COUNTY,
180046,LA PORTE,,C,COUNTY,
180047,LAWRENCE,,C,COUNTY,
180048,MADISON,,C,COUNTY,
180049,MARION,,C,COUNTY,
180050,MARSHALL,,C,COUNTY,
180051,MARTIN,,C,COUNTY,
180052,MIAMI,,C,COUNTY,
180053,MONROE,,C,COUNTY,
180054,MONTGOMERY,,C,COUNTY,
180055,MORGAN,,C,COUNTY,
180056,NEWTON,,C,COUNTY,
180057,NOBLE,,C,COUNTY,
180058,OHIO,,C,COUNTY,
180059,ORANGE,,C,COUNTY,
180060,OWEN,,C,COUNTY,
180061,PARKE,,C,COUNTY,
180062,PERRY,,C,COUNTY,
180063,PIKE,,C,COUNTY,
180066,PULASKI,,C,COUNTY,
180067,PUTNAM,,C,COUNTY,
180068,RANDOLPH,,C,COUNTY,
180069,RIPLEY,,C,COUNTY,
180070,RUSH,,C,COUNTY,
180071,ST. JOSEPH,,C,COUNTY,
180072,SCOTT,,C,COUNTY,
180073,SHELBY,,C,COUNTY,
180074,SPENCER,,C,COUNTY,
180075,STARKE,,C,COUNTY,
180076,STEUBEN,,C,COUNTY,
