User Code,BSI Code,Authority Name,Preferred,Authority Title,County ID
BSI00000000,0,FEDERAL,N,FEDERAL,
BSI00010000,10000,ALABAMA,N,STATE,
BSI00010001,10001,ATTALLA,N,CITY,ETOWAH
BSI00010002,10002,BESSEMER,N,CITY,JEFFERSON
BSI00010003,10003,BRILLIANT,N,TOWN,MARION
BSI00010004,10004,GADSDEN,N,CITY,ETOWAH
BSI00010005,10005,GOODWATER,N,CITY,COOSA
BSI00010006,10006,GLENCOE,N,CITY,ETOWAH
BSI00010007,10007,GUIN,N,CITY,MARION
BSI00010008,10008,HAMILTON,N,CITY,MARION
BSI00010009,10009,MOUNTAIN BROOK,N,CITY,JEFFERSON
BSI00010010,10010,OPELIKA,N,CITY,LEE
BSI00010011,10011,RAINBOW CITY,N,CITY,ETOWAH
BSI00010012,10012,SOUTHSIDE,N,CITY,ETOWAH
BSI00010013,10013,TUSKEGEE,N,CITY,MACON
BSI00010014,10014,RED BAY,N,CITY,FRANKLIN
BSI00010015,10015,HALEYVILLE,N,CITY,WINSTON
BSI00010016,10016,HACKLEBURG,N,TOWN,MARION
BSI00010073,10073,AUBURN,N,CITY,LEE
BSI00010074,10074,BEAR CREEK,N,CITY,MARION
BSI00010075,10075,SULLIGENT,N,CITY,LAMAR
BSI00010076,10076,MACON,N,COUNTY,MACON
BSI00010501,10501,BIRMINGHAM,N,CITY,JEFFERSON
BSI00010521,10521,JEFFERSON,N,COUNTY,JEFFERSON
BSI00010522,10522,BEAVERTON,N,TOWN,LAMAR
BSI00010523,10523,LEEDS,N,CITY,JEFFERSON
BSI00010524,10524,LEEDS,N,CITY,ST. CLAIR
BSI00010525,10525,LEEDS,N,CITY,SHELBY
BSI00010526,10526,LYNN,N,TOWN,WINSTON
BSI00010527,10527,MOSSES,N,TOWN,LOWNDES
BSI00010528,10528,SHORTER,N,TOWN,MACON
BSI00010529,10529,NOTASULGA,N,TOWN,MACON
BSI00010530,10530,BIRMINGHAM,N,CITY,SHELBY
BSI00010531,10531,FAIRFIELD,N,CITY,JEFFERSON
BSI00010532,10532,MIDFIELD,N,CITY,JEFFERSON
BSI00010533,10533,TARRANT,N,CITY,JEFFERSON
BSI00010534,10534,WADLEY,N,TOWN,RANDOLPH
BSI00010535,10535,IRONDALE,N,CITY,JEFFERSON
BSI00020000,20000,ALASKA,N,STATE,
BSI00040000,40000,ARIZONA,N,STATE,
BSI00050000,50000,ARKANSAS,N,STATE,
BSI00050001,50001,TEXARKANA,N,CITY,MILLER
BSI00060000,60000,CALIFORNIA,N,STATE,
BSI00060001,60001,SAN FRANCISCO,N,CITY,SAN FRANCISCO
BSI00070000,70000,AMERICAN SAMOA,N,POSSESSION,
BSI00080000,80000,COLORADO,N,STATE,
BSI00080080,80080,DENVER,N,CITY,DENVER
BSI00080085,80085,GREENWOOD VILLAGE,N,CITY,ARAPAHOE
BSI00080094,80094,AURORA,N,CITY,ADAMS
BSI00080095,80095,GLENDALE,N,CITY,ARAPAHOE
BSI00080103,80103,SHERIDAN,N,CITY,ARAPAHOE
BSI00080104,80104,AURORA,N,CITY,ARAPAHOE
BSI00080105,80105,AURORA,N,CITY,DOUGLAS
BSI00090000,90000,CONNECTICUT,N,STATE,
BSI00100000,100000,DELAWARE,N,STATE,
BSI00100502,100502,WILMINGTON,N,CITY,NEW CASTLE
BSI00110000,110000,DISTRICT OF COLUMBIA,N,STATE,
BSI00120000,120000,FLORIDA,N,STATE,
BSI00130000,130000,GEORGIA,N,STATE,
BSI00140000,140000,GUAM,N,POSSESSION,
BSI00150000,150000,HAWAII,N,STATE,
BSI00160000,160000,IDAHO,N,STATE,
BSI00170000,170000,ILLINOIS,N,STATE,
BSI00180000,180000,INDIANA,N,STATE,
BSI00180001,180001,ADAMS,N,COUNTY,
BSI00180002,180002,ALLEN,N,COUNTY,
BSI00180003,180003,BARTHOLOMEW,N,COUNTY,
BSI00180004,180004,BENTON,N,COUNTY,
BSI00180005,180005,BLACKFORD,N,COUNTY,
BSI00180006,180006,BOONE,N,COUNTY,
BSI00180007,180007,BROWN,N,COUNTY,
BSI00180008,180008,CARROLL,N,COUNTY,
BSI00180009,180009,CASS,N,COUNTY,
BSI00180011,180011,CLAY,N,COUNTY,
BSI00180012,180012,CLINTON,N,COUNTY,
BSI00180013,180013,CRAWFORD,N,COUNTY,
BSI00180014,180014,DAVIESS,N,COUNTY,
BSI00180015,180015,DEARBORN,N,COUNTY,
BSI00180016,180016,DECATUR,N,COUNTY,
BSI00180017,180017,DEKALB,N,COUNTY,
BSI00180018,180018,DELAWARE,N,COUNTY,
BSI00180019,180019,DUBOIS,N,COUNTY,
BSI00180020,180020,ELKHART,N,COUNTY,
BSI00180021,180021,FAYETTE,N,COUNTY,
BSI00180022,180022,FLOYD,N,COUNTY,
BSI00180023,180023,FOUNTAIN,N,COUNTY,
BSI00180024,180024,FRANKLIN,N,COUNTY,
BSI00180025,180025,FULTON,N,COUNTY,
BSI00180026,180026,GIBSON,N,COUNTY,
BSI00180027,180027,GRANT,N,COUNTY,
BSI00180028,180028,GREENE,N,COUNTY,
BSI00180029,180029,HAMILTON,N,COUNTY,
BSI00180030,180030,HANCOCK,N,COUNTY,
BSI00180031,180031,HARRISON,N,COUNTY,
BSI00180032,180032,HENDRICKS,N,COUNTY,
BSI00180033,180033,HENRY,N,COUNTY,
BSI00180034,180034,HOWARD,N,COUNTY,
BSI00180035,180035,HUNTINGTON,N,COUNTY,
BSI00180036,180036,JACKSON,N,COUNTY,
BSI00180037,180037,JASPER,N,COUNTY,
BSI00180038,180038,JAY,N,COUNTY,
BSI00180040,180040,JENNINGS,N,COUNTY,
BSI00180041,180041,JOHNSON,N,COUNTY,
BSI00180042,180042,KNOX,N,COUNTY,
BSI00180043,180043,KOSCIUSKO,N,COUNTY,
BSI00180044,180044,LAGRANGE,N,COUNTY,
BSI00180046,180046,LA PORTE,N,COUNTY,
BSI00180047,180047,LAWRENCE,N,COUNTY,
BSI00180048,180048,MADISON,N,COUNTY,
BSI00180049,180049,MARION,N,COUNTY,
BSI00180050,180050,MARSHALL,N,COUNTY,
BSI00180051,180051,MARTIN,N,COUNTY,
BSI00180052,180052,MIAMI,N,COUNTY,
BSI00180053,180053,MONROE,N,COUNTY,
BSI00180054,180054,MONTGOMERY,N,COUNTY,
BSI00180055,180055,MORGAN,N,COUNTY,
BSI00180056,180056,NEWTON,N,COUNTY,
BSI00180057,180057,NOBLE,N,COUNTY,
BSI00180058,180058,OHIO,N,COUNTY,
BSI00180059,180059,ORANGE,N,COUNTY,
BSI00180060,180060,OWEN,N,COUNTY,
BSI00180061,180061,PARKE,N,COUNTY,
BSI00180062,180062,PERRY,N,COUNTY,
BSI00180063,180063,PIKE,N,COUNTY,
BSI00180066,180066,PULASKI,N,COUNTY,
BSI00180067,180067,PUTNAM,N,COUNTY,
BSI00180068,180068,RANDOLPH,N,COUNTY,
BSI00180069,180069,RIPLEY,N,COUNTY,
BSI00180070,180070,RUSH,N,COUNTY,
BSI00180071,180071,ST. JOSEPH,N,COUNTY,
BSI00180072,180072,SCOTT,N,COUNTY,
BSI00180073,180073,SHELBY,N,COUNTY,
BSI00180074,180074,SPENCER,N,COUNTY,
BSI00180075,180075,STARKE,N,COUNTY,
BSI00180076,180076,STEUBEN,N,COUNTY,
BSI00180078,180078,SWITZERLAND,N,COUNTY,
BSI00180079,180079,TIPPECANOE,N,COUNTY,
BSI00180080,180080,TIPTON,N,COUNTY,
BSI00180081,180081,UNION,N,COUNTY,
BSI00180082,180082,VANDERBURGH,N,COUNTY,
BSI00180083,180083,VERMILLION,N,COUNTY,
BSI00180085,180085,WABASH,N,COUNTY,
BSI00180086,180086,WARREN,N,COUNTY,
BSI00180087,180087,WARRICK,N,COUNTY,
BSI00180088,180088,WASHINGTON,N,COUNTY,
BSI00180089,180089,WAYNE,N,COUNTY,
BSI00180090,180090,WELLS,N,COUNTY,
BSI00180091,180091,WHITE,N,COUNTY,
BSI00180092,180092,WHITLEY,N,COUNTY,
BSI00180093,180093,CLARK,N,COUNTY,
BSI00180094,180094,PORTER,N,COUNTY,
BSI00180095,180095,VIGO,N,COUNTY,
BSI00180096,180096,JEFFERSON,N,COUNTY,
BSI00180097,180097,POSEY,N,COUNTY,
BSI00180098,180098,SULLIVAN,N,COUNTY,
BSI00180099,180099,LAKE,N,COUNTY,
BSI00190000,190000,IOWA,N,STATE,
BSI00200000,200000,KANSAS,N,STATE,
BSI00210000,210000,KENTUCKY,N,STATE,
BSI00210001,210001,ALLEN,N,COUNTY,
BSI00210002,210002,BOONE,N,COUNTY,
BSI00210003,210003,BOYLE,N,COUNTY,
BSI00210004,210004,BUTLER,N,COUNTY,
BSI00210005,210005,CAMPBELL,N,COUNTY,
