authority,taxType,formula,startDate,endDate,single,married,separate,twoWorking,oneWorking,headOfHousehold,multipleEmployers,widow/Widower,notLivingW.Spouse,claimAll/Joint,claimHalf/Joint,claimAll/Separate,claimNone/Joint,livingWithSpouse,singleTaxRate,civilUnion,cU/SingleTaxRate,spouseIsNonresAlien,married19,married20,married21,married22,married23,married24,married25,default
10000,1,1,1/1/2020,N/A,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10000,10,1,1/1/2013,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,13,1,1/1/2013,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,61,1,1/1/2013,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,62,1,1/1/2013,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,63,1,1/1/2013,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,64,1,1/1/2013,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,70,1,1/1/2020,N/A,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10000,71,1,2/17/2009,N/A,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10000,72,1,2/17/2009,N/A,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10000,75,1,1/1/2020,N/A,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10000,504,1,1/2/2003,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,507,1,7/24/2009,N/A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,517,1,1/1/2010,N/A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,600,1,1/2/2006,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
