authorityCode,taxType,formulaNumber,startDate,endDate,monthly/Quarterly,formulaTitle
0,10,2,1/1/1997,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/1999,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2000,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2001,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2002,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2003,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2004,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2005,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2006,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2007,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2008,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2009,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2011,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,7/1/2011,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2012,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2013,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2014,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2015,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2017,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2018,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2019,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
0,10,2,1/1/2020,0,Monthly,EMPLOYER RAILROAD UNEMPLOYMENT
10000,10,2,1/1/1983,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
10000,10,2,1/1/2013,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
10000,13,2,4/1/1992,0,Quarterly,QRTLY EMPLYMNT SEC ENHANCEMENT TAX
10000,13,2,1/1/2013,0,Quarterly,QRTLY EMPLYMNT SEC ENHANCEMENT TAX
20000,10,2,1/1/2008,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2009,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2010,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2011,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2012,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2013,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2014,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2015,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2016,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2017,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2018,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2019,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,10,2,1/1/2020,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
20000,20,2,1/1/2008,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2009,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2010,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2011,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2012,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2013,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2014,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2015,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2016,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2017,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2018,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2019,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
20000,20,2,1/1/2020,0,Quarterly,EMPLOYEE QUARTERLY UT FORMULA
40000,10,2,1/1/1983,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
40000,10,2,1/1/2011,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
40000,10,2,1/1/2013,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
40000,16,2,1/1/2001,0,Quarterly,JOB TRAINING QUARTERLY TAX FORMULA
40000,16,2,1/1/2013,20151231,Quarterly,JOB TRAINING QUARTERLY TAX FORMULA
40000,89,2,1/1/2011,0,Quarterly,QTRLY UI INTRST ASSMNT FEE
40000,89,2,1/1/2012,0,Quarterly,QTRLY UI INTRST ASSMNT FEE
40000,89,2,1/1/2013,0,Quarterly,QTRLY UI INTRST ASSMNT FEE
50000,10,2,1/1/2004,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2010,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2011,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2012,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2013,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2015,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2016,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2017,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2018,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
50000,10,2,1/1/2020,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
60000,10,2,1/1/1983,0,Quarterly,EMPLOYER QUARTERLY UT FORMULA
