taxType,taxName,payee,recip,taxId,railRoad,garnTypeInd,garnCapLimit
1,WITHHOLDING TAX,EE,1,0,0,0,0
2,EARNED INCOME CREDIT PAYMENT,EE,0,0,0,0,0
3,EMPLOYEE SOCIAL SECURITY TAX,EE,0,0,1,0,0
4,EMPLOYER SOCIAL SECURITY TAX,ER,0,0,1,0,0
5,EMPLOYEE MEDICARE TAX,EE,0,0,1,0,0
6,EMPLOYER MEDICARE TAX,ER,0,0,1,0,0
7,STATE UNEMPLOYMENT INSURANCE TAX,ER,0,0,0,0,0
8,SOCIAL CHARGE TAX,ER,0,0,0,0,0
9,EMPLOYER SPECIAL PAYROLL TAX,ER,0,0,0,0,0
10,EMPLOYER UNEMPLOYMENT TAX,ER,0,0,0,0,0
11,EMPLOYER DEBT REPAYMENT TAX,ER,0,0,0,0,0
12,EMPLOYER OLD FUND LIABILITY TX,ER,0,0,0,0,0
13,ER EMPLMT SECURITY ENHANCMT TX,ER,0,0,0,0,0
14,ER RE-EMPLMT PLACEMT TX,ER,0,0,0,0,0
15,ER JOB DEVMT ASSESSMT TX,ER,0,0,0,0,0
16,EMPLOYMENT TRAINING TAX,ER,0,0,0,0,0
17,EMPLOYER HEALTH INSURANCE TAX,ER,0,0,0,0,0
18,EMPLOYER WORKFORCE DEVLMT TX,ER,0,0,0,0,0
19,PAYROLL EXPENSE TAX,ER,0,0,0,0,0
20,EMPLOYEE UNEMPLOYMENT TAX,EE,0,0,0,0,0
21,EMPLOYEE DEBT REPAYMENT TAX,EE,0,0,0,0,0
22,EMPLOYEE OLD FUND LIABILITY TX,EE,0,0,0,0,0
23,EMPLOYEE HEALTH INSURANCE TAX,EE,0,0,0,0,0
24,EMPLOYEE WORKFORCE DEVLPMT TX,EE,0,0,0,0,0
25,EE COMBINED UI/WF&SWF/HC/DI/FLI TAX,EE,0,0,0,0,0
26,EMPLOYEE CHAUFFEURS LICENSE FEE,EE,0,0,0,0,0
27,EMPLOYER CHAUFFEURS LICENSE FEE,ER,0,0,0,0,0
28,ER COMBINED WF&SWF/HC/DI TAX,ER,0,0,0,0,0
29,SPECIAL ADMIN RESERVE FUND TAX,ER,0,0,0,0,0
30,EMPLOYER WORKER COMPENSATION TAX,ER,0,0,0,0,0
31,EMPLOYER DISABILITY TAX,ER,0,0,0,0,0
32,EMPLOYER ACCIDENT FUND TAX,ER,0,0,0,0,0
33,EMPLOYER MEDICAL AID FUND TAX,ER,0,0,0,0,0
34,EMPLOYER SUPLMTAL PENSION TX,ER,0,0,0,0,0
35,TRANSIT  DISTRICT EXCISE TAX,ER,0,0,0,0,0
36,WORKFORCE ENHANCEMENT FEE,ER,0,0,0,0,0
37,ADMINISTRATIVE CONTINGENCY FUND TAX,ER,0,0,0,0,0
38,EMPLOYER INVESTMENT FEE,ER,0,0,0,0,0
39,EMPLOYMENT ADMINISTRATION FUND,ER,0,0,0,0,0
40,EMPLOYEE WORKER COMPENSATION TAX,EE,0,0,0,0,0
41,EMPLOYEE DISABILITY TAX,EE,0,0,0,0,0
42,EMPLOYEE SUPLMTAL PENSION TX,EE,0,0,0,0,0
43,EMPLOYEE MEDICAL AID FUND TAX,EE,0,0,0,0,0
44,EE MENTAL HEALTH TAX,EE,1,0,0,0,0
45,EMPLOYEE SENIOR CITIZEN TAX,EE,1,0,0,0,0
46,EMPLOYEE MENTAL HEALTH TAX,EE,1,0,0,0,0
47,JOINT ECONOMIC DEV. DISTRICT,EE,1,0,0,0,0
48,EMPLOYEE VOLUNTARY DISABILITY TAX,EE,0,0,0,0,0
49,EE SEN CIT/MNTAL HLT/TRANSP TX,EE,1,0,0,0,0
50,EMPLOYEE TRANSPORTATION TAX,EE,1,0,0,0,0
51,EMPLOYEE OCCUPATION TAX,EE,1,0,0,0,0
52,EMPLOYER HEAD TAX,ER,0,0,0,0,0
53,EMPLOYEE SCHOOL TAX,EE,1,0,0,0,0
54,EMPLOYER OCCUPATION TAX,ER,1,0,0,0,0
55,EMPLOYEE RAILROAD RTMT TIER1 SOC S,EE,0,0,2,0,0
56,EMPLOYEE RAILROAD RTMT TIER2 SOC S,EE,0,0,4,0,0
57,EMPLOYER RAILROAD RTMT TIER1 SOC S,ER,0,0,2,0,0
58,EMPLOYER RAILROAD RTMT TIER2 SOC S,ER,0,0,4,0,0
59,EMPLOYEE RAILROAD RTMT TIER1 MEDIC,EE,0,0,2,0,0
60,EMPLOYER RAILROAD RTMT TIER1 MEDIC,ER,0,0,2,0,0
61,EMPLOYEE RETIREMENT PLAN-S.S,EE,0,0,0,0,0
