authorityCode,taxType,description1,payType,earn/PayCode,description2,employeeLimit,employeeFrequency,employerLimit,employerFrequency,Class,catchUpAmount
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E002,PAY ADVANCES,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E003,ATHLETIC FACILITIES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E004,N.Q. PLAN AWARDS AND PRIZES,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E005,BACK PAY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E006,BONUSES,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E007,BUSINESS EXPENSES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E009,GIFTS,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E010,COMMISSIONS,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E013,DISCOUNTS,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E014,DISMISSAL/SEVERANCE,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E015,EDUCATIONAL ASSISTANCE (SEC 127),5250,YTD,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E016,EMPLOYMENT AGENCY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E017,QUALIFIED EQUIPMENT/TOOL/UNIFORM,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E018,BUSINESS USE OF COMPANY CAR,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E019,PERSONAL USE OF COMPANY CAR,IMPUTED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E020,NO ADDITIONAL COST SERVICES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E021,GOLDEN PARACHUTE,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E022,GROUP LEGAL SERVICES,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E023,GUARANTEED WAGE,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E024,JURY DUTY PAY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E025,BELOW MARKET LOANS TO EMPLOYEES,IMPUTED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E026,MEALS AND LODGING,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E027,SUPPLEMENTAL MILITARY PAY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E028,QUALIFIED MOVING EXPENSES,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E029,NON CASH FRINGE,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E030,OUTPLACEMENT SERVICES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E031,OVERTIME,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E032,QUALIFIED PARKING,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E033,PRE EMPLOYMENT REIMBURSEMENT,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E034,PROBATIONARY PAY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E035,REGULAR WAGES,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E036,SCHOLARSHIPS,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E037,SICK/DISABILITY PAY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E038,STANDBY/IDLE TIME,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E039,STOCK PURCHASE & INCENTIVE PLAN,IMPUTED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E040,SUPPER MONEY,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E041,SUPPLEMENTAL UNEMPLOYMENT,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E042,TAXES PAID BY EMPLOYER,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E043,TIPS,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E044,TRAVEL EXPENSE REIMBURSEMENT,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E045,TUITION REDUCTION (SEC 117),UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E046,UNION PAYMENT,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E047,VACATION PAY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E048,GROUP TERM LIFE G.T. 50000,IMPUTED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E049,MINISTERS HOUSING ALLOWANCE,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E051,INCOME UNDER SECTION 409A,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E052,TRANSPORTATION CHV,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E060,3RD PARTY SICK PAY - IN HOUSE PLAN,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E065,3RD PARTY SICK PAY - OUTSIDE VENDOR,UNLIMITED,,N/A,,,N/A
