authority,taxType,formula,startDate,endDate,maximumWage,taxRate,minimumWage
00000000 - FEDERAL,003 - EMPLOYEE SOCIAL SECURITY TAX,1,20200101,0,137700,0.06,0
00000000 - FEDERAL,004 - EMPLOYER SOCIAL SECURITY TAX,1,20200101,0,137700,0.06,0
00000000 - FEDERAL,005 - EMPLOYEE MEDICARE TAX,1,19940101,0,0,0.01,0
00000000 - FEDERAL,006 - EMPLOYER MEDICARE TAX,1,20130101,0,0,0.01,0
00000000 - FEDERAL,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,7000,0.01,0
00000000 - FEDERAL,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,1655,0.01,0
00000000 - FEDERAL,055 - EMPLOYEE RAILROAD RTMT TIER1 SOC S,1,20200101,0,137700,0.06,0
00000000 - FEDERAL,056 - EMPLOYEE RAILROAD RTMT TIER2 SOC S,1,20200101,0,102300,0.05,0
00000000 - FEDERAL,057 - EMPLOYER RAILROAD RTMT TIER1 SOC S,1,20200101,0,137700,0.06,0
00000000 - FEDERAL,058 - EMPLOYER RAILROAD RTMT TIER2 SOC S,1,20200101,0,102300,0.13,0
00000000 - FEDERAL,059 - EMPLOYEE RAILROAD RTMT TIER1 MEDIC,1,19950101,0,0,0.01,0
00000000 - FEDERAL,060 - EMPLOYER RAILROAD RTMT TIER1 MEDIC,1,20130101,0,0,0.01,0
00000000 - FEDERAL,204 - ER EMPLOYEE RETENTION CREDIT,1,20200313,0,10000,0.5,0
00000000 - FEDERAL,206 - ER SOCIAL SECURITY TAX PMT DEFERRAL,1,20200327,0,137700,0.06,0
00000000 - FEDERAL,206 - ER SOCIAL SECURITY TAX PMT DEFERRAL,2,20200327,0,137700,0.06,0
00000000 - FEDERAL,206 - ER SOCIAL SECURITY TAX PMT DEFERRAL,3,20200327,0,102300,0.13,0
00010000 - ALABAMA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20130101,0,8000,0.03,0
00010000 - ALABAMA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20130101,0,8000,0.03,0
00010000 - ALABAMA,013 - ER EMPLMT SECURITY ENHANCMT TX,1,20130101,0,8000,0,0
00010000 - ALABAMA,013 - ER EMPLMT SECURITY ENHANCMT TX,2,20130101,0,8000,0,0
00010000 - ALABAMA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00010000 - ALABAMA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00010000 - ALABAMA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00010000 - ALABAMA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00010005 - GOODWATER,051 - EMPLOYEE OCCUPATION TAX,1,19860401,0,20000,0.01,0
00010009 - MOUNTAIN BROOK,051 - EMPLOYEE OCCUPATION TAX,1,20010101,20051231,100000,0,0
00020000 - ALASKA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,41500,0.02,0
00020000 - ALASKA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,41500,0.02,0
00020000 - ALASKA,020 - EMPLOYEE UNEMPLOYMENT TAX,1,20200101,0,41500,0,0
00020000 - ALASKA,020 - EMPLOYEE UNEMPLOYMENT TAX,2,20200101,0,41500,0,0
00020000 - ALASKA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00020000 - ALASKA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00020000 - ALASKA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00020000 - ALASKA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00040000 - ARIZONA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20130101,0,7000,0.02,0
