taxType,description1,payType,customPaymentCode,description2,eELimit,eEFreq,eRLimit,eRFreq,earnFreq,limitType
1,WITHHOLDING TAX,E,CUSTPYMNT1,Custom Payment Code1,0,,N/A,,,0
1,WITHHOLDING TAX,E,CUSTPYMNT2,Custom Payment Code2,0,,N/A,,,0
10,EMPLOYER UNEMPLOYMENT TAX,E,CUSTPYMNT1,Custom Payment Code1,0,,N/A,,,0
10,EMPLOYER UNEMPLOYMENT TAX,E,CUSTPYMNT2,Custom Payment Code2,0,,N/A,,,0
15,ER JOB DEVMT ASSESSMT TX,E,CUSTPYMNT1,Custom Payment Code1,0,,N/A,,,0
15,ER JOB DEVMT ASSESSMT TX,E,CUSTPYMNT2,Custom Payment Code2,0,,N/A,,,0
61,EMPLOYEE RETIREMENT PLAN-S.S,E,CUSTPYMNT1,Custom Payment Code1,0,,N/A,,,0
61,EMPLOYEE RETIREMENT PLAN-S.S,E,CUSTPYMNT2,Custom Payment Code2,0,,N/A,,,0
62,EMPLOYEE RETIREMENT PLAN-MED.,E,CUSTPYMNT1,Custom Payment Code1,0,,N/A,,,0
62,EMPLOYEE RETIREMENT PLAN-MED.,E,CUSTPYMNT2,Custom Payment Code2,0,,N/A,,,0
63,EMPLOYER RETIREMENT PLAN-S.S,E,CUSTPYMNT1,Custom Payment Code1,0,,N/A,,,0
63,EMPLOYER RETIREMENT PLAN-S.S,E,CUSTPYMNT2,Custom Payment Code2,0,,N/A,,,0
64,EMPLOYER RETIREMENT PLAN-MED.,E,CUSTPYMNT1,Custom Payment Code1,0,,N/A,,,0
64,EMPLOYER RETIREMENT PLAN-MED.,E,CUSTPYMNT2,Custom Payment Code2,0,,N/A,,,0
