login,manageLoginsAndPermissions,manageDatasets,userInterfacePermission
AR,Yes,Yes,Yes
CERTUSR,No,No,Yes
daniel,Yes,Yes,No
deborah,Yes,Yes,Yes
HS,Yes,Yes,Yes
igor,Yes,Yes,Yes
jeff,Yes,Yes,Yes
jkrute@applied.com1313,No,No,Yes
k,No,No,Yes
ming,Yes,Yes,Yes
peter,Yes,Yes,Yes
qP9cV9h,No,No,Yes
raj,Yes,Yes,Yes
raji,Yes,Yes,Yes
reynolds_ralph@bsi.com.dev,No,No,Yes
sita,Yes,Yes,Yes
sudhir,Yes,Yes,Yes
supcert@bsi.com.sfdev,No,Yes,No
TEST,No,Yes,Yes
tf10_generator,No,No,Yes
tf10_generator_noui,No,No,No
TF11,Yes,Yes,Yes
tf11,Yes,Yes,Yes
vinit,Yes,Yes,Yes
vw4Ski6,No,No,No
