customPaymentCode,customPaymentName,paymentType,taxability,eEMax,aggStatus
CUSTPYMNT1,Custom Payment Code1,E,Taxable,0,N/A
CUSTPYMNT2,Custom Payment Code2-Non Taxable,E,Non-Taxable,1E+11,N/A
CUSTPYMNT3,Custom Payment Code3-Limit YTD,E,Limit / YTD,1000,N/A
CUSTPYMNT4,Custom Payment Code4_Limit QTD,E,Limit / QTD,1300,N/A
CUSTPYMNT5,Custom Payment Code5- Limit MTD,E,Limit / MTD,1400,N/A
CUSTPYMNT6,Custom Payment Code6- Taxable/Exclu,E,Taxable/Exclude,99999999999,N/A
CUSTPYMNT7,Custom Payment Code7_Imputed,E,Imputed,99999999996,N/A
CUSTPYTBEN1,CUSTPYTBEN1-do not agg Pl_TX,P,Taxable / Taxable,0,Do Not Aggregate Plans
CUSTPYTBEN2,CUSTPYTBEN2_do not agg_NTX,P,Non-Taxable / Non-Taxable,1E+11,Do Not Aggregate Plans
CUSTPYTBEN3,CUSTPYTBEN3-Do not Agg_TX-NTX,P,Taxable / Non-Taxable,0,Do Not Aggregate Plans
CUSTPYTBEN4,CUSTPYTBEN4-Do nor agg pl_NTX-TX,P,Non-Taxable / Taxable,1E+11,Do Not Aggregate Plans
